일시,공급능력(MW),현재부하(MW),공급예비력(MW),공급예비율(%),기온(°C)
2024-09-22 17:05,91316,60030,31286,52.1,""""""
2024-09-22 17:00,90311,60047,30264,50.4,""""""
2024-09-22 16:55,90360,59790,30570,51.1,""""""
2024-09-22 16:50,90419,59556,30863,51.8,""""""
2024-09-22 16:45,90459,59435,31024,52.2,""""""
2024-09-22 16:40,90496,59310,31186,52.6,""""""
2024-09-22 16:35,90590,59389,31201,52.5,""""""
2024-09-22 16:30,90630,59021,31609,53.6,""""""
2024-09-22 16:25,90650,59082,31567,53.4,""""""
2024-09-22 16:20,90658,58889,31770,53.9,""""""
2024-09-22 16:15,90568,58799,31770,54,""""""
2024-09-22 16:10,90514,58240,32273,55.4,""""""
2024-09-22 16:05,90523,58185,32338,55.6,""""""
2024-09-22 16:00,90834,58173,32661,56.1,""""""
2024-09-22 15:55,90886,57901,32985,57,""""""
2024-09-22 15:50,90902,57838,33064,57.2,""""""
2024-09-22 15:45,90957,57784,33173,57.4,""""""
2024-09-22 15:40,91028,57718,33310,57.7,""""""
2024-09-22 15:35,91099,57540,33560,58.3,""""""
2024-09-22 15:30,91141,57530,33611,58.4,""""""
2024-09-22 15:25,91194,57613,33581,58.3,""""""
2024-09-22 15:20,91318,57514,33804,58.8,""""""
2024-09-22 15:15,91373,57491,33882,58.9,""""""
2024-09-22 15:10,91432,57188,34243,59.9,""""""
2024-09-22 15:05,91425,57203,34222,59.8,""""""
2024-09-22 15:00,91346,57138,34208,59.9,""""""
2024-09-22 14:55,91364,56828,34536,60.8,""""""
2024-09-22 14:50,91382,57091,34291,60.1,""""""
2024-09-22 14:45,91427,57043,34384,60.3,""""""
2024-09-22 14:40,91451,56783,34668,61.1,""""""
2024-09-22 14:35,91494,56779,34715,61.1,""""""
2024-09-22 14:30,91525,56707,34818,61.4,""""""
2024-09-22 14:25,91524,56707,34816,61.4,""""""
2024-09-22 14:20,91550,56516,35033,62,""""""
2024-09-22 14:15,91536,56515,35022,62,""""""
2024-09-22 14:10,91539,56471,35068,62.1,""""""
2024-09-22 14:05,91590,56237,35354,62.9,""""""
2024-09-22 14:00,91571,56293,35278,62.7,""""""
2024-09-22 13:55,91542,56199,35343,62.9,""""""
2024-09-22 13:50,91593,56381,35212,62.5,""""""
2024-09-22 13:45,91681,56212,35469,63.1,""""""
2024-09-22 13:40,91764,55952,35812,64,""""""
2024-09-22 13:35,91823,56133,35690,63.6,""""""
2024-09-22 13:30,91858,56122,35736,63.7,""""""
2024-09-22 13:25,91813,56104,35709,63.6,""""""
2024-09-22 13:20,91825,55985,35840,64,""""""
2024-09-22 13:15,91941,55952,35989,64.3,""""""
2024-09-22 13:10,91964,55923,36040,64.4,""""""
2024-09-22 13:05,92004,55494,36510,65.8,""""""
2024-09-22 13:00,92076,55115,36960,67.1,""""""
2024-09-22 12:55,92056,54840,37215,67.9,""""""
2024-09-22 12:50,92051,54977,37074,67.4,""""""
2024-09-22 12:45,92106,54699,37407,68.4,""""""
2024-09-22 12:40,92144,54795,37349,68.2,""""""
2024-09-22 12:35,92182,54478,37704,69.2,""""""
2024-09-22 12:30,92212,54393,37819,69.5,""""""
2024-09-22 12:25,92285,54109,38176,70.6,""""""
2024-09-22 12:20,92263,53739,38524,71.7,""""""
2024-09-22 12:15,92191,53920,38271,71,""""""
2024-09-22 12:10,92242,53846,38396,71.3,""""""
2024-09-22 12:05,92211,53553,38658,72.2,""""""
2024-09-22 12:00,92871,53416,39455,73.9,""""""
2024-09-22 11:55,92907,53197,39710,74.6,""""""
2024-09-22 11:50,92958,53234,39724,74.6,""""""
2024-09-22 11:45,92956,53521,39434,73.7,""""""
2024-09-22 11:40,92977,53558,39419,73.6,""""""
2024-09-22 11:35,92970,53551,39420,73.6,""""""
2024-09-22 11:30,92978,53555,39424,73.6,""""""
2024-09-22 11:25,93007,53436,39572,74.1,""""""
2024-09-22 11:20,93028,53410,39619,74.2,""""""
2024-09-22 11:15,92985,53126,39858,75,""""""
2024-09-22 11:10,93001,53205,39796,74.8,""""""
2024-09-22 11:05,93054,53106,39948,75.2,""""""
2024-09-22 11:00,93276,53177,40099,75.4,""""""
2024-09-22 10:55,93233,53062,40171,75.7,""""""
2024-09-22 10:50,93213,53301,39912,74.9,""""""
2024-09-22 10:45,93220,53282,39938,75,""""""
2024-09-22 10:40,93181,53036,40144,75.7,""""""
2024-09-22 10:35,93184,53026,40158,75.7,""""""
2024-09-22 10:30,93156,53105,40051,75.4,""""""
2024-09-22 10:25,93131,52945,40186,75.9,""""""
2024-09-22 10:20,93085,52811,40274,76.3,""""""
2024-09-22 10:15,93074,52744,40330,76.5,""""""
2024-09-22 10:10,93030,52829,40200,76.1,""""""
2024-09-22 10:05,92943,52554,40389,76.9,""""""
2024-09-22 10:00,93111,52527,40584,77.3,""""""
2024-09-22 09:55,93090,52499,40591,77.3,""""""
2024-09-22 09:50,93044,52346,40698,77.7,""""""
2024-09-22 09:45,92990,52349,40641,77.6,""""""
2024-09-22 09:40,92957,52475,40482,77.1,""""""
2024-09-22 09:35,92904,52382,40522,77.4,""""""
2024-09-22 09:30,92819,52338,40481,77.3,""""""
2024-09-22 09:25,92778,52515,40263,76.7,""""""
2024-09-22 09:20,92732,52655,40078,76.1,""""""
2024-09-22 09:15,92706,52708,39998,75.9,""""""
2024-09-22 09:10,92712,52660,40053,76.1,""""""
2024-09-22 09:05,92626,52600,40026,76.1,""""""
2024-09-22 09:00,92079,52524,39555,75.3,""""""
2024-09-22 08:55,92057,52439,39618,75.6,""""""
2024-09-22 08:50,92024,52236,39787,76.2,""""""
2024-09-22 08:45,91946,52267,39679,75.9,""""""
2024-09-22 08:40,91911,52049,39863,76.6,""""""
2024-09-22 08:35,91859,51739,40120,77.5,""""""
2024-09-22 08:30,91839,51918,39921,76.9,""""""
2024-09-22 08:25,91814,52074,39739,76.3,""""""
2024-09-22 08:20,91767,51999,39768,76.5,""""""
2024-09-22 08:15,91679,52303,39376,75.3,""""""
2024-09-22 08:10,91584,52494,39090,74.5,""""""
2024-09-22 08:05,91532,52215,39316,75.3,""""""
2024-09-22 08:00,92487,52010,40477,77.8,""""""
2024-09-22 07:55,92444,51936,40508,78,""""""
2024-09-22 07:50,92413,51866,40547,78.2,""""""
2024-09-22 07:45,92352,52026,40326,77.5,""""""
2024-09-22 07:40,92313,52269,40044,76.6,""""""
2024-09-22 07:35,92264,52260,40004,76.5,""""""
2024-09-22 07:30,92229,52090,40140,77.1,""""""
2024-09-22 07:25,92202,52307,39895,76.3,""""""
2024-09-22 07:20,92170,52146,40024,76.8,""""""
2024-09-22 07:15,92135,52571,39564,75.3,""""""
2024-09-22 07:10,92091,52372,39718,75.8,""""""
2024-09-22 07:05,92073,52421,39652,75.6,""""""
2024-09-22 07:00,92057,52383,39674,75.7,""""""
2024-09-22 06:55,92041,52457,39584,75.5,""""""
2024-09-22 06:50,92051,52156,39896,76.5,""""""
2024-09-22 06:45,92073,52137,39936,76.6,""""""
2024-09-22 06:40,92068,52073,39995,76.8,""""""
2024-09-22 06:35,92063,51979,40083,77.1,""""""
2024-09-22 06:30,92085,51703,40382,78.1,""""""
2024-09-22 06:25,92080,51625,40455,78.4,""""""
2024-09-22 06:20,92077,51566,40511,78.6,""""""
2024-09-22 06:15,92098,51727,40371,78,""""""
2024-09-22 06:10,92099,51591,40508,78.5,""""""
2024-09-22 06:05,92089,51570,40519,78.6,""""""
2024-09-22 06:00,92014,51519,40495,78.6,""""""
2024-09-22 05:55,92030,51541,40489,78.6,""""""
2024-09-22 05:50,92036,51425,40611,79,""""""
2024-09-22 05:45,92053,51148,40906,80,""""""
2024-09-22 05:40,92058,50974,41084,80.6,""""""
2024-09-22 05:35,92046,51193,40852,79.8,""""""
2024-09-22 05:30,92031,51203,40828,79.7,""""""
2024-09-22 05:25,92042,51239,40803,79.6,""""""
2024-09-22 05:20,92050,51183,40867,79.8,""""""
2024-09-22 05:15,92051,50824,41226,81.1,""""""
2024-09-22 05:10,92029,50835,41194,81,""""""
2024-09-22 05:05,92025,50902,41122,80.8,""""""
2024-09-22 05:00,91904,50530,41374,81.9,""""""
2024-09-22 04:55,91920,50649,41272,81.5,""""""
2024-09-22 04:50,91929,51049,40880,80.1,""""""
2024-09-22 04:45,91914,50976,40938,80.3,""""""
2024-09-22 04:40,91911,50914,40997,80.5,""""""
2024-09-22 04:35,91918,51001,40917,80.2,""""""
2024-09-22 04:30,91904,50686,41218,81.3,""""""
2024-09-22 04:25,91888,50888,41000,80.6,""""""
2024-09-22 04:20,91871,50987,40884,80.2,""""""
2024-09-22 04:15,91853,50846,41007,80.6,""""""
2024-09-22 04:10,91841,50602,41238,81.5,""""""
2024-09-22 04:05,91826,50880,40946,80.5,""""""
2024-09-22 04:00,91733,51011,40722,79.8,""""""
2024-09-22 03:55,91741,50927,40814,80.1,""""""
2024-09-22 03:50,91738,50825,40914,80.5,""""""
2024-09-22 03:45,91694,50987,40707,79.8,""""""
2024-09-22 03:40,91688,50880,40808,80.2,""""""
2024-09-22 03:35,91698,51135,40562,79.3,""""""
2024-09-22 03:30,91718,51122,40596,79.4,""""""
2024-09-22 03:25,91706,51179,40527,79.2,""""""
2024-09-22 03:20,91721,51167,40554,79.3,""""""
2024-09-22 03:15,91750,51489,40261,78.2,""""""
2024-09-22 03:10,91725,51325,40400,78.7,""""""
2024-09-22 03:05,91749,51114,40635,79.5,""""""
2024-09-22 03:00,91668,51237,40431,78.9,""""""
2024-09-22 02:55,91666,51421,40245,78.3,""""""
2024-09-22 02:50,91682,51495,40186,78,""""""
2024-09-22 02:45,92309,51531,40778,79.1,""""""
2024-09-22 02:40,92318,51629,40689,78.8,""""""
2024-09-22 02:35,92313,51560,40753,79,""""""
2024-09-22 02:30,92324,51688,40636,78.6,""""""
2024-09-22 02:25,92335,51770,40565,78.4,""""""
2024-09-22 02:20,92329,51913,40416,77.9,""""""
2024-09-22 02:15,92311,52006,40306,77.5,""""""
2024-09-22 02:10,92318,52013,40305,77.5,""""""
2024-09-22 02:05,92205,52396,39809,76,""""""
2024-09-22 02:00,92889,52360,40529,77.4,""""""
2024-09-22 01:55,92891,52391,40499,77.3,""""""
2024-09-22 01:50,92879,52774,40105,76,""""""
2024-09-22 01:45,92916,52785,40131,76,""""""
2024-09-22 01:40,92932,52766,40166,76.1,""""""
2024-09-22 01:35,92953,53068,39886,75.2,""""""
2024-09-22 01:30,92932,53247,39685,74.5,""""""
2024-09-22 01:25,92930,53290,39639,74.4,""""""
2024-09-22 01:20,92921,53575,39346,73.4,""""""
2024-09-22 01:15,92930,53740,39190,72.9,""""""
2024-09-22 01:10,92931,53998,38934,72.1,""""""
2024-09-22 01:05,92944,53900,39044,72.4,""""""
2024-09-22 01:00,92879,54132,38747,71.6,""""""
2024-09-22 00:55,92898,54315,38583,71,""""""
2024-09-22 00:50,92926,54466,38461,70.6,""""""
2024-09-22 00:45,92943,54655,38288,70.1,""""""
2024-09-22 00:40,92929,54728,38201,69.8,""""""
2024-09-22 00:35,92948,54824,38123,69.5,""""""
2024-09-22 00:30,92940,55160,37780,68.5,""""""
2024-09-22 00:25,92938,55525,37412,67.4,""""""
2024-09-22 00:20,92944,55742,37201,66.7,""""""
2024-09-22 00:15,92972,55770,37202,66.7,""""""
2024-09-22 00:10,93000,56243,36757,65.4,""""""
2024-09-22 00:05,92974,56588,36386,64.3,""""""
2024-09-22 00:00,91627,57026,34601,60.7,""""""
